,ts_code,open,high,low,close,pre_close,vol,amount,turn,paused,pct_chg,isST
2024-10-30,sh.600519,1525.0000000000,1551.1900000000,1523.4100000000,1532.0000000000,1531.6200000000,3200574,4913175982.5000,0.254800,0,0.024800,0
2024-10-29,sh.600519,1560.0000000000,1580.0000000000,1530.0000000000,1531.6200000000,1565.0000000000,4116578,6368105233.4700,0.327700,0,-2.132900,0
2024-10-28,sh.600519,1560.0000000000,1565.0000000000,1522.2300000000,1565.0000000000,1558.8500000000,3912140,6064453667.7400,0.311400,0,0.394500,0
2024-10-25,sh.600519,1547.0000000000,1574.7900000000,1546.0100000000,1558.8500000000,1552.2000000000,2774508,4328271350.7300,0.220900,0,0.428400,0
2024-10-24,sh.600519,1561.0000000000,1575.0000000000,1545.0100000000,1552.2000000000,1567.5000000000,2392280,3723973209.0800,0.190400,0,-0.976100,0
2024-10-23,sh.600519,1544.1100000000,1576.9500000000,1532.0000000000,1567.5000000000,1543.0000000000,4008846,6259600035.0700,0.319100,0,1.587800,0
2024-10-22,sh.600519,1526.5600000000,1560.1800000000,1524.2000000000,1543.0000000000,1528.8000000000,3626913,5607826491.6400,0.288700,0,0.928800,0
2024-10-21,sh.600519,1541.2100000000,1549.9700000000,1521.2100000000,1528.8000000000,1541.0000000000,4200790,6433918335.4100,0.334400,0,-0.791700,0
2024-10-18,sh.600519,1493.0000000000,1567.8400000000,1478.9600000000,1541.0000000000,1494.6000000000,6861930,10418043491.5000,0.546200,0,3.104500,0
2024-10-17,sh.600519,1537.0000000000,1537.6600000000,1493.4100000000,1494.6000000000,1522.5000000000,3945955,5964778957.8700,0.314100,0,-1.832500,0
2024-10-16,sh.600519,1540.8800000000,1549.8000000000,1510.0000000000,1522.5000000000,1554.2500000000,4666440,7140169692.2900,0.371500,0,-2.042800,0
2024-10-15,sh.600519,1599.0000000000,1600.9900000000,1553.0100000000,1554.2500000000,1601.9900000000,4357143,6884141868.6500,0.346900,0,-2.980000,0
2024-10-14,sh.600519,1613.0000000000,1620.6300000000,1581.1700000000,1601.9900000000,1604.9900000000,4481202,7181350821.9900,0.356700,0,-0.186900,0
